Short name	Mean	Standard Deviation
dp_un [0.5277346367429383, 0.6127768253699103]
dt_un [0.4604079206767252, 0.5999122612909965]
aw_un [0.5287021397149005, 0.6060228898363706]
as_un [0.5578487600732299, 0.7008682705631183]
a1_un [0.4628122757324371, 0.5291557515136871]
bl_un [0.49098662149434813, 0.47792818000677767]
dp_ga [2.800662053308315, 0.7139351990558092]
dt_ga [3.138210757767744, 0.6862264666569583]
aw_ga [3.05120918637415, 0.8603191700391419]
as_ga [3.2006644211973723, 0.739233998111485]
a1_ga [3.408137675666875, 0.7092679035472608]
bl_ga [2.5924444934881516, 0.7461453851051704]
dp_1 [2.8961055564772, 0.6873851153705146]
dt_1 [3.232592418400502, 0.6542876267698794]
aw_1 [3.1641858250812884, 0.9570501906758034]
as_1 [3.363827598592014, 0.7517001880373257]
a1_1 [3.450179069336297, 0.6501279190194957]
bl_1 [2.71427028188494, 0.704152513917105]
dp_n [2.7558806596622145, 0.6758526108155841]
dt_n [3.039350012012755, 0.6513322763280615]
aw_n [3.0233931653519086, 1.0470864827121553]
as_n [3.1217954085457222, 0.7184915941980645]
a1_n [3.2483249977808475, 0.564173428672483]
bl_n [2.5979872314946193, 0.7444066141145252]
